Movie_ratings,Movie_years,Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Budget,Revenue,Movie_ratings,Finance_Ratio,Finance_Label
6.2,2015,2.35,55,1,82,11,0,3,51,0,5,8,0,15,110000000.00,129995817.00,6.2,1.18,HIT
8,2015,2.35,69,1,32,74,0,27,61,0,0,42,0,44,108000000.00,228430993.00,8,2.12,BLOCKBUSTER
6.9,2015,1.85,20,0,9,16,0,0,3,0,6,33,2,37,100000000.00,24985612.00,6.9,0.25,FLOP
7.1,2015,1.85,6,0,0,4,0,0,57,0,14,10,0,1,99000000.00,130174897.00,7.1,1.31,AVERAGE
6.9,2015,2.35,38,0,8,133,0,9,23,0,4,16,0,33,95000000.00,201148159.00,6.9,2.12,BLOCKBUSTER
5,2015,1.85,86,0,6,34,0,1,61,0,9,8,0,0,90000000.00,85884815.00,5,0.95,FLOP
5.5,2015,2.35,61,0,18,58,0,54,40,0,10,17,0,6,88000000.00,78747585.00,5.5,0.89,FLOP
4.3,2015,2.35,61,0,78,73,0,1,48,0,1,5,0,1,120000000.00,56114221.00,4.3,0.47,FLOP
6.7,2015,1.85,138,0,22,58,0,54,7,0,1,22,0,7,80000000.00,169692572.00,6.7,2.12,BLOCKBUSTER
6,2015,2.35,29,0,4,19,0,1,21,0,4,8,0,0,90000000.00,27356090.00,6,0.3,FLOP
7.7,2015,2.35,84,1,38,96,0,43,16,0,4,17,0,15,81200000.00,1339152.00,7.7,0.02,FLOP
7.3,2015,2.35,16,0,1,19,0,4,91,0,1,19,0,8,75000000.00,45434443.00,7.3,0.61,FLOP
6.4,2015,1.85,65,0,29,57,0,13,96,0,14,7,0,0,74000000.00,336029560.00,6.4,4.54,BLOCKBUSTER
6,2015,1.85,122,0,6,229,0,6,81,0,1,1,0,2,74000000.00,162495848.00,6,2.2,BLOCKBUSTER
5.4,2015,2.35,20,0,9,40,0,0,104,0,24,19,0,18,70000000.00,7097125.00,5.4,0.1,FLOP
8.7,2020,2.35,126,0,18,124,1,53,55,0,2,14,0,24,68000000.00,81257500.00,8.7,1.19,HIT
7.1,2015,2.35,52,0,1,35,0,0,86,0,0,11,0,34,55000000.00,43247140.00,7.1,0.79,FLOP
7.4,2014,2.35,12,0,4,7,0,0,65,0,10,21,3,136,250000000.00,255108370.00,7.4,1.02,HIT
5.6,2014,2.35,26,0,7,34,0,3,78,0,29,53,0,9,210000000.00,245428137.00,5.6,1.17,HIT
6.9,2012,2.35,28,0,58,18,0,13,12,0,7,52,0,7,200000000.00,202853933.00,6.9,1.01,HIT
7.9,2014,2.35,26,1,102,56,0,19,41,1,31,12,0,18,200000000.00,233914986.00,7.9,1.17,HIT
7.9,2014,2.35,38,0,42,17,0,0,55,0,6,12,0,2,178000000.00,100189501.00,7.9,0.56,FLOP
7,2014,2.35,54,1,50,10,0,1,10,0,7,0,2,19,180000000.00,241407328.00,7,1.34,AVERAGE
7.6,2014,1.85,83,1,47,122,0,0,18,0,3,10,0,2,170000000.00,208543795.00,7.6,1.23,HIT
7.7,2014,2.35,56,0,51,37,0,6,40,0,0,16,0,7,170000000.00,259746958.00,7.7,1.53,AVERAGE
7.8,2014,2.39,15,0,0,16,0,5,78,0,1,1,1,1,165000000.00,222487711.00,7.8,1.35,AVERAGE
8,2014,2.35,43,0,38,28,0,4,39,0,16,13,0,15,170000000.00,333130696.00,8,1.96,SUPER_HIT
8.6,2014,2.35,54,1,37,40,1,51,14,0,4,12,0,137,165000000.00,187991439.00,8.6,1.14,HIT
6.8,2014,1.85,31,0,12,22,0,5,9,0,4,14,0,1,145000000.00,111505642.00,6.8,0.77,FLOP
6,2014,2.35,43,1,69,31,0,7,65,0,12,41,0,44,140000000.00,65007045.00,6,0.46,FLOP
7.8,2014,2.35,46,0,3,39,0,13,43,0,21,4,0,8,145000000.00,176997107.00,7.8,1.22,HIT
6.7,2014,1.85,50,0,26,35,0,1,94,0,2,7,0,7,132000000.00,83348920.00,6.7,0.63,FLOP
5.7,2014,1.85,121,1,46,17,0,19,21,0,7,13,0,41,125000000.00,101160529.00,5.7,0.81,FLOP
6.2,2014,1.85,105,1,58,19,1,14,93,0,14,32,0,4,127000000.00,113733726.00,6.2,0.9,FLOP
6.6,2014,2.35,26,1,102,60,1,81,36,0,19,79,0,5,125000000.00,337103873.00,6.6,2.7,BLOCKBUSTER
6.2,2014,2.35,20,0,4,42,0,0,41,0,1,2,0,3,110000000.00,106369117.00,6.2,0.97,FLOP
6.1,2014,2.35,40,0,1,69,0,47,71,0,42,4,0,2,90000000.00,39292022.00,6.1,0.44,FLOP
5.5,2014,2.35,81,1,41,39,0,11,62,0,5,1,0,11,95000000.00,17176900.00,5.5,0.18,FLOP
6.3,2014,2.35,70,0,68,103,1,53,93,0,5,0,1,26,100000000.00,23014504.00,6.3,0.23,FLOP
6.7,2014,2.35,54,1,79,10,0,3,48,0,5,6,0,4,85000000.00,150832203.00,6.7,1.77,SUPER_HIT
5.5,2014,2.35,46,0,0,91,0,0,8,0,0,13,0,2,80000000.00,23219748.00,5.5,0.29,FLOP
6.1,2014,2.35,72,0,45,67,0,0,98,0,10,5,2,91,70000000.00,78031620.00,6.1,1.11,HIT
6.3,2014,2.35,40,0,2,67,1,28,33,0,0,1,0,0,70000000.00,55942830.00,6.3,0.8,FLOP
4.2,2014,2.35,16,0,2,18,0,0,11,0,0,27,0,3,70000000.00,18821279.00,4.2,0.27,FLOP
6.4,2014,2.35,19,1,16,40,0,2,19,0,1,5,0,1,66000000.00,43568507.00,6.4,0.66,FLOP
7.2,2014,2.35,12,0,2,22,0,11,9,0,3,2,1,56,65000000.00,115603980.00,7.2,1.78,SUPER_HIT
8.5,2013,2.39,7,0,19,47,0,3,66,0,2,4,0,0,65000000.00,85911262.00,8.5,1.32,AVERAGE
