Movie_ratings,Movie_years,Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Budget,Revenue,Movie_ratings,Finance_Ratio,Finance_Label
6.4,2011,2.35,30,0,1,84,2,47,56,0,12,1,1,5,35000000.00,25093607.00,6.4,0.72,FLOP
5.8,2011,2.35,38,0,4,25,0,0,16,0,16,12,0,3,36000000.00,45045037.00,5.8,1.25,HIT
7.7,2010,1.85,123,0,3,51,0,1,138,0,0,1,0,1,260000000.00,200807262.00,7.7,0.77,FLOP
5.3,2018,2.35,53,0,2,94,0,2,60,0,0,46,0,44,200000000.00,105219735.00,5.3,0.53,FLOP
6.4,2010,1.85,57,0,66,55,1,11,31,1,68,31,0,27,200000000.00,334185206.00,6.4,1.67,AVERAGE
6.8,2010,2.35,76,1,41,48,0,18,56,0,0,1,0,0,170000000.00,172051787.00,6.8,1.01,HIT
8.3,2010,1.85,57,2,73,112,0,1,80,0,3,4,2,28,200000000.00,414984497.00,8.3,2.07,BLOCKBUSTER
6.6,2010,2.35,23,0,29,32,0,0,6,0,0,72,0,13,200000000.00,90755643.00,6.6,0.45,FLOP
7,2010,2.35,74,0,34,58,0,47,52,0,8,10,0,8,200000000.00,312057433.00,7,1.56,AVERAGE
6.3,2010,2.35,25,0,14,70,0,4,112,0,5,0,0,0,165000000.00,238371987.00,6.3,1.44,AVERAGE
8.1,2010,2.35,35,0,3,42,0,13,44,0,3,2,0,8,165000000.00,217387997.00,8.1,1.32,AVERAGE
8.8,2010,2.35,34,1,79,33,0,12,53,0,22,10,0,137,160000000.00,292568851.00,8.8,1.83,SUPER_HIT
6.1,2010,2.35,58,1,35,28,0,0,2,0,3,15,0,0,150000000.00,63143812.00,6.1,0.42,FLOP
6.3,2010,1.78,98,0,2,9,0,0,14,0,0,67,0,23,155000000.00,104383624.00,6.3,0.67,FLOP
5.8,2010,1.85,111,1,43,12,0,0,79,0,0,11,1,1,150000000.00,61937495.00,5.8,0.41,FLOP
7.2,2010,2.35,94,1,53,59,2,83,63,0,16,5,0,1,130000000.00,148337537.00,7.2,1.14,HIT
5.8,2010,2.35,72,0,17,70,0,1,12,0,0,9,0,1,125000000.00,163192114.00,5.8,1.31,AVERAGE
5.4,2010,1.85,47,0,0,32,0,0,8,0,4,5,3,47,120000000.00,30212620.00,5.4,0.25,FLOP
6.3,2010,2.35,33,0,43,37,0,1,55,0,11,8,0,11,117000000.00,76418654.00,6.3,0.65,FLOP
4.9,2010,2.35,29,0,15,53,0,4,6,0,3,4,0,0,112000000.00,42776259.00,4.9,0.38,FLOP
5.5,2010,1.85,81,2,47,83,0,6,83,0,1,7,0,2,100000000.00,148383780.00,5.5,1.48,AVERAGE
6.6,2010,2.35,35,0,11,63,0,11,2,0,0,13,1,31,100000000.00,119219978.00,6.6,1.19,HIT
6,2010,2.35,57,0,63,42,1,44,40,0,0,6,0,56,100000000.00,67631157.00,6,0.68,FLOP
6.9,2010,2.35,28,0,12,41,0,7,79,0,13,14,0,5,80000000.00,55673333.00,6.9,0.7,FLOP
6.8,2010,2.35,51,1,27,9,0,0,20,0,2,15,0,38,100000000.00,35024475.00,6.8,0.35,FLOP
4.5,2010,1.85,53,0,0,109,1,15,27,0,5,5,0,7,100000000.00,95328937.00,4.5,0.95,FLOP
5.9,2010,2.35,14,0,5,93,0,6,70,0,14,14,0,6,95000000.00,88761720.00,5.9,0.93,FLOP
6.8,2010,2.35,48,2,74,93,0,7,41,0,0,28,0,6,100000000.00,81557479.00,6.8,0.82,FLOP
4.2,2010,2.35,68,0,9,63,0,5,81,0,34,24,0,35,90000000.00,190562.00,4.2,0,FLOP
7.5,2010,1.85,43,0,15,20,0,4,21,0,1,21,0,14,60000000.00,31494270.00,7.5,0.52,FLOP
4.3,2010,1.85,22,0,3,24,0,12,26,0,2,7,0,0,85000000.00,43575716.00,4.3,0.51,FLOP
6.1,2014,2.35,40,0,1,69,0,47,46,0,6,8,0,61,80000000.00,102981571.00,6.1,1.29,AVERAGE
8.2,2010,2.35,34,1,79,37,0,0,41,0,0,47,1,166,80000000.00,127968405.00,8.2,1.6,AVERAGE
6.9,2010,2.35,48,2,73,49,0,11,68,1,58,8,0,1,80000000.00,94822707.00,6.9,1.19,HIT
4.6,2010,1.85,41,0,43,53,0,9,20,0,0,8,0,1,80000000.00,100169068.00,4.6,1.25,HIT
5.9,2010,1.85,122,0,23,45,0,53,61,0,17,33,0,1,80000000.00,162001186.00,5.9,2.03,BLOCKBUSTER
5.5,2010,2.35,76,0,14,42,0,1,89,0,21,7,0,4,75000000.00,47000485.00,5.5,0.63,FLOP
6.2,2010,2.35,76,0,9,115,0,2,4,0,0,22,3,59,70000000.00,52474616.00,6.2,0.75,FLOP
5,2010,2.35,10,0,39,35,0,39,37,0,18,18,0,4,68000000.00,300523113.00,5,4.42,BLOCKBUSTER
7.6,2010,1.85,39,0,29,37,0,2,22,0,3,3,0,22,69000000.00,251501645.00,7.6,3.64,BLOCKBUSTER
7.8,2009,1.78,86,0,5,41,0,1,54,0,8,17,3,69,237000000.00,760505847.00,7.8,3.21,BLOCKBUSTER
7.6,2009,2.35,53,0,13,11,0,10,9,0,3,17,0,15,250000000.00,301956980.00,7.6,1.21,HIT
6,2009,2.35,140,0,3,90,0,1,13,0,1,50,0,9,200000000.00,402076689.00,6,2.01,BLOCKBUSTER
6.5,2009,2.35,36,1,67,26,0,13,18,1,18,29,0,9,200000000.00,125320003.00,6.5,0.63,FLOP
5.8,2009,2.35,55,0,2,6,0,2,31,1,76,13,0,19,200000000.00,166112167.00,5.8,0.83,FLOP
7.2,2019,2.35,58,0,7,83,0,43,94,1,58,29,1,34,200000000.00,137850096.00,7.2,0.69,FLOP
6.4,2009,2.35,71,0,6,34,0,7,26,0,30,3,0,0,175000000.00,198332128.00,6.4,1.13,HIT
5.8,2009,2.35,47,0,14,64,0,6,1,0,2,8,0,1,175000000.00,150167630.00,5.8,0.86,FLOP
6,2009,2.35,90,1,53,6,1,13,66,0,14,25,0,4,150000000.00,177243721.00,6,1.18,HIT
6.6,2009,2.35,29,0,26,39,0,12,18,0,10,6,0,29,150000000.00,179883016.00,6.6,1.2,HIT
6.7,2009,2.35,54,2,71,29,0,3,136,0,26,27,2,37,150000000.00,133375846.00,6.7,0.89,FLOP
7.3,2017,2.35,28,0,8,135,0,6,137,0,7,13,0,20,150000000.00,257704099.00,7.3,1.72,AVERAGE
8.1,2019,2.35,133,0,2,44,0,8,206,0,4,22,0,5,130000000.00,107503316.00,8.1,0.83,FLOP
7.1,2009,1.85,42,0,37,103,0,3,39,0,7,7,0,11,105000000.00,104374107.00,7.1,0.99,FLOP
7,2009,2.35,54,0,69,36,1,58,43,0,6,17,0,18,100000000.00,97030725.00,7,0.97,FLOP
6.4,2009,2.35,47,2,71,13,0,1,55,0,2,27,0,4,100000000.00,65452312.00,6.4,0.65,FLOP
6.7,2009,2.35,87,0,14,8,0,3,2,0,2,79,1,64,100000000.00,77222184.00,6.7,0.77,FLOP
5.3,2009,1.85,57,0,11,59,0,4,25,0,0,19,0,1,100000000.00,49392095.00,5.3,0.49,FLOP
6.7,2009,2.35,58,0,6,39,0,3,31,1,76,16,3,124,65000000.00,43982842.00,6.7,0.68,FLOP
6.9,2009,2.35,19,0,1,25,0,0,16,0,8,1,1,27,100000000.00,124870275.00,6.9,1.25,HIT
6.9,2009,1.85,50,0,3,97,0,3,29,0,1,5,0,2,90000000.00,196573705.00,6.9,2.18,BLOCKBUSTER
7.6,2009,1.85,72,0,34,66,0,6,9,0,1,13,0,8,90000000.00,209019489.00,7.6,2.32,BLOCKBUSTER
6.5,2009,1.85,73,3,151,15,0,2,0,0,5,4,0,6,85000000.00,112703470.00,6.5,1.33,AVERAGE
6.3,2009,2.35,82,0,14,22,0,1,21,0,0,9,0,1,80000000.00,38542418.00,6.3,0.48,FLOP
6.8,2018,2.35,222,0,3,132,0,4,41,0,19,7,0,6,40000000.00,19406406.00,6.8,0.49,FLOP
5.4,2009,1.85,61,0,29,35,0,8,81,0,4,7,0,3,35000000.00,73023275.00,5.4,2.09,BLOCKBUSTER
6.3,2009,1.85,44,0,43,26,0,2,2,0,0,8,0,16,75000000.00,51814190.00,6.3,0.69,FLOP
8.3,2009,2.35,22,0,56,57,2,83,94,2,83,16,2,156,75000000.00,120523073.00,8.3,1.61,AVERAGE
4.5,2009,1.85,69,0,17,22,0,0,30,0,9,26,0,6,75000000.00,219613391.00,4.5,2.93,BLOCKBUSTER
7.2,2009,2.35,9,0,4,5,0,1,14,0,1,6,0,58,70000000.00,617840.00,7.2,0.01,FLOP
6.3,2009,2.35,54,1,34,6,1,49,307,0,13,1,0,0,65000000.00,19548064.00,6.3,0.3,FLOP
5.5,2009,1.85,46,0,6,25,0,5,35,0,1,2,0,1,60000000.00,109176215.00,5.5,1.82,SUPER_HIT
8.7,2016,1.78,7,0,0,17,0,0,2,0,2,45,0,10,60000000.00,71844424.00,8.7,1.2,HIT
7.7,2009,1.85,51,0,5,56,0,3,4,0,0,8,0,9,60000000.00,75280058.00,7.7,1.25,HIT
4.9,2009,1.85,37,0,18,55,0,2,167,0,15,13,0,7,60000000.00,43337279.00,4.9,0.72,FLOP
7.3,2009,2.35,47,1,21,90,1,47,9,0,1,32,4,131,60000000.00,37479778.00,7.3,0.62,FLOP
