,Movie_actor_3_credit,Director_Other_Awards,Movie_ratings
Movie_actor_3_credit,100.0,11.967208909832049,32.37522233203879
Director_Other_Awards,11.967208909832049,100.0,34.23836434202235
Movie_ratings,32.37522233203879,34.23836434202235,100.0
