Distributor,Theaters_x,Movie_years,Movie_budget,Movie_aspect_ratio,Movie_runtime,Movie_director,Movie_director_credit,Movie_director_awords_Oscars,Movie_director_awords_win,Movie_director_awords_nominations,Movie_actor_1_name,Movie_actor_1_credit,Movie_actor_1_awords_Oscars,Movie_actor_1_awords_win,Movie_actor_1_awords_nominations,Movie_actor_2_name,Movie_actor_2_credit,Movie_actor_2_awords_Oscars,Movie_actor_2_awords_win,Movie_actor_2_awords_nominations,Movie_actor_3_name,Movie_actor_3_credit,Movie_actor_3_awords_Oscars,Movie_actor_3_awords_win,Movie_actor_3_awords_nominations,Movie_music_names,Movie_music_credit,Movie_music_awords_Oscars,Movie_music_awords_win,Movie_music_awords_nominations,Movie_writter_names,Movie_writter_credit,Movie_writter_awords_Oscars,Movie_writter_awords_wins,Movie_writter_awords_nominations,Movie_cinematography_name,Movie_cinematography_credit,Movie_cinematography_aword_Oscars,Movie_cinematography_aword_win,Movie_cinematography_aword_nominations,Movie_costume_name,Movie_costume_credit,Movie_costume_aword_Oscars,Movie_costume_aword_win,Movie_costume_aword_nominations
22,3404,2009,200000000,2.39,158,382,13,0,19,17,224,56,1,7,20,14,0,0,2,7,125,27,1,47,1,76,6,0,0,3,513,13,0,19,17,78,68,1,2,-2,359,45,2,0,1
23,4468,2010,68000000,2.35,124,108,18,0,4,10,441,8,0,4,4,381,0,0,51,73,636,10,0,48,0,83,60,3,76,103,411,0,0,0,0,143,84,1,13,2,381,31,0,0,1
31,3792,2010,160000000,2.39,148,74,10,5,128,213,266,34,1,88,241,328,53,2,11,56,215,24,1,32,1,75,92,1,111,234,106,10,5,128,213,347,40,1,15,29,167,36,1,3,6
29,2757,2015,28000000,2.39,147,133,35,0,7,11,330,1,0,4,5,120,9,1,2,6,322,4,0,11,0,114,45,0,7,8,323,0,1,1,3,216,61,2,8,42,208,22,0,0,1
16,3928,2016,185000000,2.35,122,239,16,0,3,7,84,39,1,2,27,672,46,1,5,22,394,38,0,8,0,148,37,1,76,104,549,21,0,12,23,312,38,1,3,2,348,38,0,0,2
29,4026,2016,120000000,2.39,123,330,17,1,34,66,295,73,1,29,141,641,76,1,37,85,22,0,1,46,1,48,16,1,1,2,463,9,1,34,66,18,75,1,8,18,257,39,2,10,27
22,3306,2014,50000000,2.35,112,352,4,1,20,15,230,43,2,1,54,88,36,0,23,57,589,135,0,3,0,136,30,2,14,4,412,5,0,0,11,19,12,0,0,0,228,25,0,0,1
29,3773,2012,170000000,2.39,127,387,3,0,1,2,259,0,0,51,73,94,14,0,13,45,122,0,1,57,1,88,93,8,61,89,189,1,0,1,1,117,27,1,6,11,74,55,4,28,58
29,3773,2012,170000000,2.39,127,387,3,0,1,2,259,0,0,51,73,94,14,0,13,45,122,0,1,57,1,88,93,8,61,89,189,1,0,1,1,117,27,1,6,11,74,55,4,28,58
30,3761,2014,165000000,2.39,102,119,1,1,1,13,385,68,0,2,13,557,3,0,0,3,159,15,0,6,0,81,17,0,11,17,327,4,0,2,5,267,3,0,0,1,350,0,0,0,0
31,3575,2013,100000000,2.39,91,9,22,4,242,188,380,0,1,68,108,211,78,2,83,197,203,81,4,20,4,202,40,1,11,24,21,10,4,242,188,97,36,3,136,71,164,65,1,5,12
16,3956,2015,150000000,2.39,131,72,2,1,3,1,413,39,3,48,76,296,46,2,28,54,680,77,0,12,0,99,10,0,3,1,79,20,2,1,7,275,76,1,10,34,178,26,2,1,19
31,3611,2019,74000000,1.85,527,331,1,8,2,3,34,89,1,56,77,182,120,0,8,27,712,126,1,4,1,101,97,1,26,20,320,12,1,1,3,259,53,1,3,2,336,12,0,0,0
30,3929,2008,225000000,2.39,150,11,6,1,7,21,41,4,0,0,5,212,0,0,3,10,681,4,0,1,0,78,51,1,7,24,29,5,1,7,21,177,38,1,0,2,151,42,1,2,6
