Distributor,Theaters_x,Movie_years,Movie_budget,Movie_aspect_ratio,Movie_runtime,Movie_director,Movie_director_credit,Movie_director_awords_Oscars,Movie_director_awords_win,Movie_director_awords_nominations,Movie_actor_1_name,Movie_actor_1_credit,Movie_actor_1_awords_Oscars,Movie_actor_1_awords_win,Movie_actor_1_awords_nominations,Movie_actor_2_name,Movie_actor_2_credit,Movie_actor_2_awords_Oscars,Movie_actor_2_awords_win,Movie_actor_2_awords_nominations,Movie_actor_3_name,Movie_actor_3_credit,Movie_actor_3_awords_Oscars,Movie_actor_3_awords_win,Movie_actor_3_awords_nominations,Movie_music_names,Movie_music_credit,Movie_music_awords_Oscars,Movie_music_awords_win,Movie_music_awords_nominations,Movie_writter_names,Movie_writter_credit,Movie_writter_awords_Oscars,Movie_writter_awords_wins,Movie_writter_awords_nominations,Movie_cinematography_name,Movie_cinematography_credit,Movie_cinematography_aword_Oscars,Movie_cinematography_aword_win,Movie_cinematography_aword_nominations,Movie_costume_name,Movie_costume_credit,Movie_costume_aword_Oscars,Movie_costume_aword_win,Movie_costume_aword_nominations
29,3367,2011,75000000,2.39,104,44,48,2,6,4,43,100,1,4,50,168,56,1,31,88,112,27,1,57,1,32,20,1,4,25,5,0,0,0,0,59,63,2,11,17,351,0,0,0,0
20,3215,2016,20000000,2.39,100,221,2,1,2,1,314,0,1,9,55,358,0,1,2,11,424,0,1,10,1,33,30,1,2,-1,317,11,1,2,1,153,59,2,0,3,191,29,0,0,0
31,2861,2010,37000000,2.39,125,30,3,2,60,104,40,51,2,60,104,518,0,1,0,17,367,25,2,5,2,48,8,1,1,2,476,0,0,0,9,275,69,1,5,29,371,18,0,0,1
22,3633,2015,30000000,1.85,94,16,11,0,1,2,256,24,1,1,13,512,0,0,2,5,549,97,0,4,0,191,23,2,6,2,356,5,1,1,13,78,76,1,8,4,135,39,0,0,0
26,3167,2011,21000000,2.35,100,93,4,1,0,3,445,25,0,3,6,151,44,0,3,3,597,0,0,2,0,62,26,1,6,5,196,8,0,0,0,131,40,1,8,5,395,0,1,0,3
29,3480,2016,29000000,1.85,99,31,1,0,0,1,302,0,2,33,101,380,0,1,10,50,586,64,1,21,1,33,30,1,2,-1,410,1,2,33,101,176,46,0,0,3,397,35,0,1,4
5,2911,2010,69000000,1.85,114,190,10,4,8,12,396,39,1,24,128,496,68,1,9,25,751,40,2,9,2,208,7,1,4,-4,144,1,0,0,0,153,44,2,0,3,262,28,2,2,9
26,3723,2011,75000000,1.85,87,302,0,0,0,0,192,47,2,2,20,142,87,1,6,21,336,0,0,5,0,136,28,2,11,1,320,10,1,1,3,329,45,0,0,0,7,45,0,0,0
22,3082,2010,60000000,1.85,133,391,6,6,17,62,238,0,1,49,96,239,0,0,0,0,267,0,0,0,0,45,17,1,3,40,523,5,6,17,62,283,36,3,8,119,281,0,0,0,0
8,3002,2015,10000000,2.35,97,264,0,0,6,15,111,81,0,7,9,598,0,0,4,4,38,45,0,0,0,112,7,0,2,3,370,13,0,6,15,33,42,0,5,1,25,26,0,0,0
26,3207,2010,100000000,2.35,98,455,30,2,4,13,110,48,2,73,165,96,18,1,7,32,645,0,0,11,0,78,58,1,9,26,386,5,0,0,0,22,12,0,0,1,315,33,1,3,18
29,3007,2009,75000000,1.85,146,238,8,1,6,26,3,44,1,52,111,584,21,1,1,23,443,0,0,2,0,144,0,0,3,1,335,27,1,6,26,140,33,2,24,58,36,39,0,0,5
31,3188,2015,53000000,2.35,123,395,2,0,3,7,228,73,3,71,142,308,58,1,14,64,65,56,1,26,1,115,23,0,7,25,391,0,0,0,1,210,30,0,0,3,197,27,0,0,5
31,3155,2012,25000000,2.35,101,397,38,2,3,3,443,32,0,35,35,617,0,2,8,12,77,0,1,8,1,133,53,1,4,21,603,2,1,1,16,5,36,1,5,6,95,12,0,0,0
26,2927,2012,120000000,1.85,127,19,20,2,93,91,400,0,0,4,8,246,119,0,33,28,55,1,0,0,0,156,26,1,24,47,613,2,0,0,1,48,18,1,15,18,26,19,0,1,5
22,2771,2010,40000000,2.39,120,97,84,2,56,128,209,16,1,10,47,543,0,2,16,53,92,2,0,0,0,213,8,1,36,88,3,4,1,84,136,146,27,2,1,28,155,12,3,4,15
31,3222,2011,60000000,1.85,106,426,29,1,21,76,158,0,1,12,42,626,20,0,0,0,382,0,0,4,0,36,5,0,17,32,538,5,0,0,9,321,16,1,21,76,239,48,0,0,4
31,3222,2011,60000000,1.85,106,426,29,1,21,76,158,0,1,12,42,626,20,0,0,0,382,0,0,4,0,36,5,0,17,32,538,5,0,0,9,321,16,1,21,76,239,48,0,0,4
10,3232,2016,90000000,2.39,129,222,16,0,2,2,209,34,1,16,53,421,59,3,27,120,749,80,3,24,3,25,67,2,11,16,173,17,0,1,2,248,50,1,2,10,18,49,3,3,15
22,3174,2011,57000000,2.35,96,277,3,0,0,0,325,60,1,34,59,655,0,0,3,8,142,72,0,8,0,54,5,0,1,1,534,8,0,3,6,30,65,0,2,2,42,7,0,0,0
22,3174,2011,57000000,2.35,96,277,3,0,0,0,325,60,1,34,59,655,0,0,3,8,142,72,0,8,0,54,5,0,1,1,534,8,0,3,6,30,65,0,2,2,42,7,0,0,0
26,2907,2012,12000000,1.85,89,236,4,0,1,2,99,10,0,2,5,6,4,0,0,3,503,20,1,32,1,140,0,0,1,2,406,6,0,0,1,96,0,0,0,0,374,0,0,0,1
31,3043,2011,30000000,2.39,113,189,4,0,0,5,270,80,1,12,39,152,0,0,17,19,316,0,2,7,2,106,31,1,8,18,455,3,0,0,0,103,24,0,0,3,340,78,2,5,13
31,3043,2011,30000000,2.39,113,189,4,0,0,5,270,80,1,12,39,152,0,0,17,19,316,0,2,7,2,106,31,1,8,18,455,3,0,0,0,103,24,0,0,3,340,78,2,5,13
29,3384,2016,35000000,2.35,92,314,5,0,2,8,387,70,1,8,30,669,44,0,35,35,646,0,2,8,2,144,9,0,3,1,31,5,0,0,1,30,79,0,2,2,228,28,0,0,1
29,3192,2012,50000000,1.85,113,220,2,0,0,0,191,37,0,7,15,13,0,0,5,17,130,27,0,2,0,126,9,0,0,5,316,4,0,0,0,63,48,0,0,1,291,40,0,0,1
17,3223,2013,28000000,2.35,115,259,71,3,8,7,241,0,1,3,7,244,0,0,0,0,368,21,0,0,0,55,31,0,0,3,128,4,0,0,1,325,41,0,0,1,229,13,0,0,0
29,2840,2011,50200000,1.85,106,159,0,0,0,4,295,55,1,24,136,179,0,1,11,89,451,0,0,0,0,210,30,15,55,106,214,4,0,0,4,169,28,2,6,16,197,20,0,0,5
21,3012,2012,65000000,2.39,95,333,12,0,2,3,317,0,0,3,19,591,0,0,0,2,520,0,0,11,0,227,13,0,0,1,467,10,0,2,3,112,55,0,1,2,398,60,1,3,8
21,2942,2009,87000000,2.39,92,148,1,4,8,19,106,0,0,0,0,283,63,1,30,94,581,14,0,0,0,177,14,2,27,100,365,0,0,0,1,166,24,1,1,3,189,23,3,5,15
31,3260,2013,46000000,1.85,153,115,11,1,69,76,167,38,1,23,93,258,29,1,28,93,737,0,1,90,1,116,2,2,9,56,2,1,0,0,5,287,79,2,159,152,326,43,0,8,13
25,2992,2012,30000000,2.39,113,362,10,1,26,59,231,60,2,13,58,71,90,1,11,33,219,0,1,12,1,160,0,0,0,4,492,5,1,26,59,318,21,0,0,1,357,35,2,3,17
21,2206,2010,32000000,2.35,107,210,3,0,1,1,81,27,0,9,52,227,27,1,9,19,487,47,1,12,1,169,20,1,0,1,471,0,1,0,2,221,28,0,1,4,271,9,0,0,0
10,2874,2010,1800000,1.85,87,87,2,0,2,2,338,79,0,2,2,40,0,0,3,6,288,0,0,0,0,158,4,1,2,7,231,5,0,4,2,353,12,0,0,1,312,0,0,0,0
16,3277,2013,26000000,2.39,129,289,52,0,9,15,290,48,2,15,69,163,62,0,15,64,45,32,0,7,0,200,33,0,8,3,104,6,1,4,18,22,13,0,0,1,145,0,1,5,16
22,3482,2011,80000000,2.35,102,137,6,0,0,0,256,19,1,1,13,546,0,0,11,46,442,0,0,2,0,191,21,2,2,-2,448,15,0,0,2,221,30,0,1,4,291,36,0,0,1
10,3065,2010,30000000,2.35,117,285,2,1,5,18,1,24,1,5,20,203,52,0,0,2,237,17,0,3,0,132,9,0,6,6,260,2,0,2,5,20,0,0,0,0,344,11,2,0,8
