Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
2.35,39,0,46,46,0,27,51,0,3,2,1,9,2,1,9,10,1,9,10,0,3,75,1,16,150000000.00,7.4,CLASS-3
2.35,43,0,26,19,0,3,27,0,0,14,0,11,14,0,11,4,0,5,17,0,41,51,0,8,150000000.00,8.5,CLASS-4
2.35,46,1,87,43,0,14,84,0,6,14,4,120,14,4,120,4,0,1,0,0,1,38,3,144,135000000.00,8,CLASS-4
1.85,122,0,0,41,0,0,91,0,6,23,0,2,23,0,2,21,0,14,22,0,5,45,1,7,130000000.00,7.3,CLASS-3
1.85,17,0,22,16,0,2,133,0,1,5,0,6,5,0,6,17,0,1,69,0,8,0,0,0,135000000.00,8.3,CLASS-4
2.35,61,0,78,73,0,0,48,0,1,5,0,1,5,0,1,0,0,1,47,0,18,24,0,1,120000000.00,4.3,CLASS-1
2.35,53,0,12,68,0,2,63,0,6,10,0,0,10,0,0,10,0,11,34,0,12,24,0,0,110000000.00,6.1,CLASS-2
2.35,55,1,82,11,0,3,51,0,5,8,0,15,8,0,15,1,0,0,45,0,2,33,0,1,110000000.00,6.2,CLASS-2
2.35,69,1,32,74,0,27,61,0,0,42,0,44,42,0,44,9,0,17,66,0,20,56,0,1,108000000.00,8,CLASS-4
1.85,20,0,9,16,0,0,3,0,6,33,2,37,33,2,37,7,0,0,22,0,15,47,1,28,100000000.00,6.9,CLASS-3
1.85,6,0,0,4,0,0,57,0,14,10,0,1,10,0,1,1,0,0,22,0,5,17,0,4,99000000.00,7.1,CLASS-3
2.35,38,0,8,133,0,9,23,0,4,16,0,33,16,0,33,5,0,3,28,0,12,28,0,1,95000000.00,6.9,CLASS-3
1.85,86,0,6,34,0,1,61,0,9,8,0,0,8,0,0,9,0,0,31,0,21,42,0,0,90000000.00,5,CLASS-1
2.35,61,0,18,58,0,54,40,0,10,17,0,6,17,0,6,13,0,1,17,0,11,27,0,0,88000000.00,5.5,CLASS-2
2.35,61,0,78,73,0,1,48,0,1,5,0,1,5,0,1,0,0,1,47,0,18,24,0,1,120000000.00,4.3,CLASS-1
1.85,138,0,22,58,0,54,7,0,1,22,0,7,22,0,7,29,0,10,31,0,21,1,0,0,80000000.00,6.7,CLASS-3
2.35,29,0,4,19,0,1,21,0,4,8,0,0,8,0,0,2,0,0,36,0,8,76,1,14,90000000.00,6,CLASS-2
2.35,84,1,38,96,0,43,16,0,4,17,0,15,17,0,15,3,0,0,35,0,3,0,0,0,81200000.00,7.7,CLASS-4
2.35,16,0,1,19,0,4,91,0,1,19,0,8,19,0,8,8,0,8,40,0,3,51,0,8,75000000.00,7.3,CLASS-3
1.85,65,0,29,57,0,13,96,0,14,7,0,0,7,0,0,6,0,0,87,0,6,0,0,0,74000000.00,6.4,CLASS-2
1.85,122,0,6,229,0,6,81,0,1,1,0,2,1,0,2,12,0,2,98,0,32,53,0,3,74000000.00,6,CLASS-2
2.35,20,0,9,40,0,0,104,0,24,19,0,18,19,0,18,0,0,0,66,0,20,43,0,10,70000000.00,5.4,CLASS-2
2.35,126,0,18,124,1,53,55,0,2,14,0,24,14,0,24,21,0,24,18,0,8,38,0,1,68000000.00,8.7,CLASS-4
2.35,52,0,1,35,0,0,86,0,0,11,0,34,11,0,34,19,0,2,22,1,14,29,0,0,55000000.00,7.1,CLASS-3
2.35,12,0,4,7,0,0,65,0,10,21,3,136,21,3,136,14,3,44,74,3,87,48,1,27,250000000.00,7.4,CLASS-3
2.35,26,0,7,34,0,3,78,0,29,53,0,9,53,0,9,14,0,1,34,0,8,24,0,0,210000000.00,5.6,CLASS-2
2.35,28,0,58,18,0,13,12,0,7,52,0,7,52,0,7,15,0,3,4,0,0,19,0,0,200000000.00,6.9,CLASS-3
2.35,26,1,102,56,0,19,41,1,31,12,0,18,12,0,18,8,0,4,32,1,8,60,0,5,200000000.00,7.9,CLASS-4
