Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
2.35,47,0,4,59,0,0,38,0,0,10,0,3,10,0,3,11,0,25,2,0,3,33,0,2,65000000.00,6.4,CLASS-2
2.35,37,0,14,53,0,2,42,0,0,31,0,2,31,0,2,5,0,0,20,0,5,39,1,7,65000000.00,6.3,CLASS-2
2.35,51,0,3,27,0,0,22,0,11,12,0,2,12,0,2,10,0,2,13,0,0,55,0,1,65000000.00,5.4,CLASS-2
2.35,35,0,44,133,1,48,36,0,19,1,1,9,1,1,9,2,0,0,8,0,3,28,0,11,60000000.00,7,CLASS-3
2.35,49,0,14,13,0,3,76,0,5,0,0,1,0,0,1,0,0,1,6,0,6,12,0,0,60000000.00,7,CLASS-3
2.35,59,0,69,3,0,3,54,0,6,6,0,17,6,0,17,36,0,3,95,1,121,50,0,1,250000000.00,6.6,CLASS-3
2.35,131,0,6,94,0,4,38,0,3,19,1,36,19,1,36,15,1,36,23,1,80,4,0,0,200000000.00,6.1,CLASS-2
2.35,45,0,14,42,0,3,19,1,71,27,0,3,27,0,3,2,0,2,92,0,68,31,1,18,200000000.00,5.5,CLASS-2
2.35,162,0,3,44,0,2,93,0,1,51,0,9,51,0,9,13,0,1,31,0,8,21,0,0,195000000.00,6.2,CLASS-2
1.85,68,0,23,266,0,23,106,0,12,51,1,154,51,1,154,13,0,7,68,3,87,38,3,19,170000000.00,7.5,CLASS-3
2.35,21,1,94,30,0,58,63,0,2,3,0,5,3,0,5,3,0,0,14,0,11,41,0,8,160000000.00,7.7,CLASS-4
2.35,10,0,8,55,1,73,115,1,52,14,0,33,14,0,33,3,0,0,22,0,12,24,0,1,150000000.00,8,CLASS-4
2.35,52,1,47,71,1,37,358,0,0,1,0,4,1,0,4,10,0,2,15,0,41,0,0,0,150000000.00,7.2,CLASS-3
2.35,43,0,1,20,0,4,41,0,1,5,0,0,5,0,0,1,0,0,15,0,41,3,0,0,150000000.00,5.4,CLASS-2
2.35,34,0,46,34,0,27,71,0,6,8,2,32,8,2,32,19,0,3,23,1,80,71,1,16,145000000.00,7.4,CLASS-3
2.35,28,0,5,30,0,2,34,0,12,12,1,1,12,1,1,5,0,5,69,0,43,57,0,0,140000000.00,6.9,CLASS-3
2.35,76,0,66,125,0,6,206,1,18,20,1,8,20,1,8,13,0,7,95,1,121,71,2,168,135000000.00,8.8,CLASS-4
2.35,0,0,14,40,0,3,93,0,1,2,1,22,2,1,22,4,0,0,14,0,11,1,0,0,130000000.00,6.6,CLASS-3
2.35,54,0,7,52,0,2,68,0,0,52,3,148,52,3,148,12,0,0,209,5,184,36,2,36,135000000.00,7.3,CLASS-3
2.35,35,0,5,24,0,6,42,0,14,10,0,3,10,0,3,5,0,0,51,0,16,33,0,3,125000000.00,7.3,CLASS-3
2.35,77,0,34,80,0,7,8,0,0,16,0,8,16,0,8,2,0,0,95,1,121,65,1,11,125000000.00,7.5,CLASS-3
2.35,95,2,74,98,0,18,36,0,3,105,1,30,105,1,30,5,0,12,92,0,68,29,0,1,120000000.00,5.8,CLASS-2
1.78,14,0,0,4,0,1,26,0,0,8,0,0,8,0,0,12,0,0,72,0,6,49,0,3,110000000.00,5.4,CLASS-2
2.35,31,0,27,10,0,0,17,0,0,27,0,4,27,0,4,4,0,1,81,0,80,24,1,5,110000000.00,7.1,CLASS-3
2.35,39,1,69,15,0,6,23,0,0,22,0,112,22,0,112,15,0,9,1,0,2,20,0,12,94000000.00,7.6,CLASS-4
2.35,57,0,43,31,0,15,62,0,5,4,0,2,4,0,2,2,0,1,22,0,12,44,1,27,93000000.00,7.6,CLASS-4
2.35,48,0,11,36,0,3,58,0,2,85,0,49,85,0,49,13,1,45,8,1,21,28,0,1,90000000.00,7.8,CLASS-4
2.35,47,0,3,16,0,5,23,0,28,11,0,2,11,0,2,1,0,0,22,0,1,53,0,1,75000000.00,5.7,CLASS-2
2.35,54,0,3,17,0,21,60,0,6,48,0,6,48,0,6,0,0,0,20,0,5,63,0,19,75000000.00,6.2,CLASS-2
1.85,119,1,17,95,0,18,57,0,8,0,0,0,0,0,0,21,0,1,60,0,20,2,0,0,100000000.00,7.1,CLASS-3
2.35,32,0,47,2,0,0,15,0,3,11,0,20,11,0,20,5,0,6,20,0,5,29,0,2,80000000.00,6.4,CLASS-2
1.85,69,0,23,42,0,6,9,0,0,0,0,0,0,0,0,10,0,2,28,0,21,45,0,0,75000000.00,4.3,CLASS-1
1.85,46,0,54,44,0,4,55,0,0,34,0,1,34,0,1,6,0,0,21,0,12,88,0,3,80000000.00,6.4,CLASS-2
2.35,83,0,9,67,0,2,60,0,1,6,0,0,6,0,0,15,0,0,21,0,12,30,0,1,80000000.00,5.2,CLASS-2
1.85,43,1,43,46,0,48,45,0,2,34,0,1,34,0,1,2,0,2,21,0,12,75,0,3,79000000.00,3.3,CLASS-1
1.85,13,0,3,3,0,0,30,0,0,9,0,6,9,0,6,0,0,1,26,0,9,24,0,0,75000000.00,6,CLASS-2
2.35,34,0,14,33,0,11,86,0,0,15,0,5,15,0,5,2,0,5,16,0,6,17,0,0,82000000.00,6,CLASS-2
2.35,47,0,0,14,0,3,17,0,1,5,0,2,5,0,2,2,0,0,51,0,16,22,0,1,70000000.00,5.7,CLASS-2
2.35,1,0,1,32,0,26,80,0,9,52,3,148,52,3,148,6,0,5,209,5,184,36,2,36,66000000.00,7.2,CLASS-3
2.35,23,0,17,198,0,3,72,0,0,30,2,37,30,2,37,6,0,0,59,0,8,25,0,0,70000000.00,5.3,CLASS-2
2.35,30,0,1,84,2,47,56,0,12,1,1,5,1,1,5,0,0,0,16,0,8,9,0,5,35000000.00,6.4,CLASS-2
2.35,38,0,4,25,0,0,16,0,16,12,0,3,12,0,3,3,0,0,0,0,1,0,0,0,36000000.00,5.8,CLASS-2
1.85,123,0,3,51,0,1,138,0,0,1,0,1,1,0,1,6,0,3,22,8,48,5,0,1,260000000.00,7.7,CLASS-4
2.35,53,0,2,94,0,2,60,0,0,46,0,44,46,0,44,0,0,0,48,0,2,20,0,1,200000000.00,5.3,CLASS-2
1.85,57,0,66,55,1,11,31,1,68,31,0,27,31,0,27,30,0,1,79,0,80,49,0,1,200000000.00,6.4,CLASS-2
2.35,76,1,41,48,0,18,56,0,0,1,0,0,1,0,0,7,0,1,1,0,6,17,1,24,170000000.00,6.8,CLASS-3
1.85,57,2,73,112,0,1,80,0,3,4,2,28,4,2,28,14,1,36,19,2,45,3,0,0,200000000.00,8.3,CLASS-4
2.35,23,0,29,32,0,0,6,0,0,72,0,13,72,0,13,7,0,5,56,0,20,42,1,36,200000000.00,6.6,CLASS-3
2.35,74,0,34,58,0,47,52,0,8,10,0,8,10,0,8,2,0,3,88,0,32,48,0,14,200000000.00,7,CLASS-3
2.35,25,0,14,70,0,4,112,0,5,0,0,0,0,0,0,1,0,1,56,0,20,1,0,0,165000000.00,6.3,CLASS-2
2.35,35,0,3,42,0,13,44,0,3,2,0,8,2,0,8,13,0,3,14,0,41,0,0,0,165000000.00,8.1,CLASS-4
2.35,34,1,79,33,0,12,53,0,22,10,0,137,10,0,137,10,0,137,92,1,121,38,1,26,160000000.00,8.8,CLASS-4
2.35,58,1,35,28,0,0,2,0,3,15,0,0,15,0,0,17,0,1,22,0,15,32,0,2,150000000.00,6.1,CLASS-2
1.78,98,0,2,9,0,0,14,0,0,67,0,23,67,0,23,4,0,5,18,1,17,62,0,19,155000000.00,6.3,CLASS-2
1.85,111,1,43,12,0,0,79,0,0,11,1,1,11,1,1,9,0,3,79,0,80,53,0,0,150000000.00,5.8,CLASS-2
2.35,94,1,53,59,2,83,63,0,16,5,0,1,5,0,1,0,0,0,58,0,8,12,0,3,130000000.00,7.2,CLASS-3
2.35,72,0,17,70,0,1,12,0,0,9,0,1,9,0,1,4,0,0,19,0,20,22,0,0,125000000.00,5.8,CLASS-2
1.85,47,0,0,32,0,0,8,0,4,5,3,47,5,3,47,29,3,47,92,1,121,34,2,36,120000000.00,5.4,CLASS-2
2.35,33,0,43,37,0,1,55,0,11,8,0,11,8,0,11,1,0,0,14,0,41,44,0,10,117000000.00,6.3,CLASS-2
2.35,29,0,15,53,0,4,6,0,3,4,0,0,4,0,0,15,0,3,14,0,11,47,0,0,112000000.00,4.9,CLASS-1
1.85,81,2,47,83,0,6,83,0,1,7,0,2,7,0,2,9,0,0,8,0,2,62,0,3,100000000.00,5.5,CLASS-2
2.35,35,0,11,63,0,11,2,0,0,13,1,31,13,1,31,15,1,31,6,0,6,46,0,0,100000000.00,6.6,CLASS-3
2.35,57,0,63,42,1,44,40,0,0,6,0,56,6,0,56,4,0,60,91,0,68,42,1,36,100000000.00,6,CLASS-2
2.35,28,0,12,41,0,7,79,0,13,14,0,5,14,0,5,2,0,1,9,0,14,0,0,0,80000000.00,6.9,CLASS-3
2.35,51,1,27,9,0,0,20,0,2,15,0,38,15,0,38,19,1,31,14,0,41,59,0,13,100000000.00,6.8,CLASS-3
1.85,53,0,0,109,1,15,27,0,5,5,0,7,5,0,7,9,0,7,23,0,12,0,0,1,100000000.00,4.5,CLASS-1
2.35,14,0,5,93,0,6,70,0,14,14,0,6,14,0,6,5,0,0,18,0,5,31,0,2,95000000.00,5.9,CLASS-2
2.35,48,2,74,93,0,7,41,0,0,28,0,6,28,0,6,5,0,0,56,0,20,12,0,0,100000000.00,6.8,CLASS-3
2.35,68,0,9,63,0,5,81,0,34,24,0,35,24,0,35,30,0,35,3,0,13,75,0,1,90000000.00,4.2,CLASS-1
1.85,43,0,15,20,0,4,21,0,1,21,0,14,21,0,14,2,0,0,5,0,3,42,0,3,60000000.00,7.5,CLASS-3
1.85,22,0,3,24,0,12,26,0,2,7,0,0,7,0,0,7,0,1,23,0,7,55,0,0,85000000.00,4.3,CLASS-1
2.35,40,0,1,69,0,47,46,0,6,8,0,61,8,0,61,4,0,0,46,0,16,22,0,0,80000000.00,6.1,CLASS-2
2.35,34,1,79,37,0,0,41,0,0,47,1,166,47,1,166,4,0,1,0,3,19,43,3,12,80000000.00,8.2,CLASS-4
2.35,48,2,73,49,0,11,68,1,58,8,0,1,8,0,1,2,0,0,0,1,24,41,0,0,80000000.00,6.9,CLASS-3
1.85,41,0,43,53,0,9,20,0,0,8,0,1,8,0,1,11,0,0,88,0,32,0,0,0,80000000.00,4.6,CLASS-1
1.85,122,0,23,45,0,53,61,0,17,33,0,1,33,0,1,16,0,63,21,0,12,86,0,3,80000000.00,5.9,CLASS-2
2.35,76,0,14,42,0,1,89,0,21,7,0,4,7,0,4,3,0,0,17,0,12,37,1,7,75000000.00,5.5,CLASS-2
2.35,76,0,9,115,0,2,4,0,0,22,3,59,22,3,59,4,0,0,22,0,14,37,0,16,70000000.00,6.2,CLASS-2
2.35,10,0,39,35,0,39,37,0,18,18,0,4,18,0,4,0,0,0,65,3,87,84,0,24,68000000.00,5,CLASS-1
1.85,39,0,29,37,0,2,22,0,3,3,0,22,3,0,22,7,0,1,70,0,6,14,0,0,69000000.00,7.6,CLASS-4
2.35,53,0,13,11,0,10,9,0,3,17,0,15,17,0,15,8,0,7,0,0,4,35,0,13,250000000.00,7.6,CLASS-4
2.35,140,0,3,90,0,1,13,0,1,50,0,9,50,0,9,12,0,1,31,0,8,10,0,0,200000000.00,6,CLASS-2
2.35,36,1,67,26,0,13,18,1,18,29,0,9,29,0,9,17,0,1,77,0,80,17,0,0,200000000.00,6.5,CLASS-2
2.35,55,0,2,6,0,2,31,1,76,13,0,19,13,0,19,13,0,19,6,0,3,68,1,14,200000000.00,5.8,CLASS-2
2.35,58,0,7,83,0,43,94,1,58,29,1,34,29,1,34,349,0,0,63,0,43,2,0,0,200000000.00,7.2,CLASS-3
2.35,71,0,6,34,0,7,26,0,30,3,0,0,3,0,0,5,0,8,12,0,11,8,0,1,175000000.00,6.4,CLASS-2
2.35,47,0,14,64,0,6,1,0,2,8,0,1,8,0,1,11,0,3,63,0,43,6,0,0,175000000.00,5.8,CLASS-2
2.35,90,1,53,6,1,13,66,0,14,25,0,4,25,0,4,13,0,0,63,0,43,28,0,1,150000000.00,6,CLASS-2
2.35,29,0,26,39,0,12,18,0,10,6,0,29,6,0,29,5,0,28,54,0,20,56,0,11,150000000.00,6.6,CLASS-3
2.35,54,2,71,29,0,3,136,0,26,27,2,37,27,2,37,27,0,3,87,1,121,24,0,0,150000000.00,6.7,CLASS-3
1.85,42,0,37,103,0,3,39,0,7,7,0,11,7,0,11,21,0,11,18,2,45,2,0,0,105000000.00,7.1,CLASS-3
2.35,54,0,69,36,1,58,43,0,6,17,0,18,17,0,18,10,0,1,28,1,16,61,0,19,100000000.00,7,CLASS-3
2.35,47,2,71,13,0,1,55,0,2,27,0,4,27,0,4,1,0,0,6,1,6,7,0,5,100000000.00,6.4,CLASS-2
2.35,87,0,14,8,0,3,2,0,2,79,1,64,79,1,64,9,1,64,44,0,29,28,0,2,100000000.00,6.7,CLASS-3
1.85,57,0,11,59,0,4,25,0,0,19,0,1,19,0,1,12,0,3,19,1,80,29,1,18,100000000.00,5.3,CLASS-2
2.35,58,0,6,39,0,3,31,1,76,16,3,124,16,3,124,11,3,44,18,0,8,41,1,27,65000000.00,6.7,CLASS-3
2.35,19,0,1,25,0,0,16,0,8,1,1,27,1,1,27,6,1,27,27,0,21,17,0,2,100000000.00,6.9,CLASS-3
1.85,50,0,3,97,0,3,29,0,1,5,0,2,5,0,2,2,0,0,14,0,41,21,0,0,90000000.00,6.9,CLASS-3
1.85,72,0,34,66,0,6,9,0,1,13,0,8,13,0,8,0,0,0,87,1,121,62,1,11,90000000.00,7.6,CLASS-4
1.85,73,3,151,15,0,2,0,0,5,4,0,6,4,0,6,13,0,6,64,0,6,27,2,16,85000000.00,6.5,CLASS-2
2.35,82,0,14,22,0,1,21,0,0,9,0,1,9,0,1,20,0,1,9,0,5,45,0,0,80000000.00,6.3,CLASS-2
2.35,222,0,3,132,0,4,41,0,19,7,0,6,7,0,6,0,0,0,13,0,13,19,0,1,40000000.00,6.8,CLASS-3
1.85,61,0,29,35,0,8,81,0,4,7,0,3,7,0,3,7,0,0,87,0,32,0,0,0,35000000.00,5.4,CLASS-2
1.85,44,0,43,26,0,2,2,0,0,8,0,16,8,0,16,27,0,16,0,0,3,56,2,28,75000000.00,6.3,CLASS-2
2.35,22,0,56,57,2,83,94,2,83,16,2,156,16,2,156,20,2,165,0,3,19,34,0,12,75000000.00,8.3,CLASS-4
1.85,69,0,17,22,0,0,30,0,9,26,0,6,26,0,6,11,0,3,63,1,14,81,0,1,75000000.00,4.5,CLASS-1
2.35,9,0,4,5,0,1,14,0,1,6,0,58,6,0,58,8,0,58,15,1,14,31,0,10,70000000.00,7.2,CLASS-3
2.35,54,1,34,6,1,49,307,0,13,1,0,0,1,0,0,89,0,9,29,1,8,0,0,0,65000000.00,6.3,CLASS-2
1.85,46,0,6,25,0,5,35,0,1,2,0,1,2,0,1,4,0,9,34,2,112,50,0,0,60000000.00,5.5,CLASS-2
1.85,51,0,5,56,0,3,4,0,0,8,0,9,8,0,9,3,0,9,13,0,13,4,0,0,60000000.00,7.7,CLASS-4
1.85,37,0,18,55,0,2,167,0,15,13,0,7,13,0,7,30,0,8,7,0,15,32,0,3,60000000.00,4.9,CLASS-1
2.35,47,1,21,90,1,47,9,0,1,32,4,131,32,4,131,4,0,1,6,0,3,15,0,3,60000000.00,7.3,CLASS-3
