Distributor,Theaters,Movie_years,Movie_budget,Movie_aspect_ratio,Movie_runtime,Movie_ratings,Movie_director,Movie_director_credit,Movie_director_awords_Oscars,Movie_director_awords_win,Movie_director_awords_nominations,Movie_actor_1_name,Movie_actor_1_credit,Movie_actor_1_awords_Oscars,Movie_actor_1_awords_win,Movie_actor_1_awords_nominations,Movie_actor_2_name,Movie_actor_2_credit,Movie_actor_2_awords_Oscars,Movie_actor_2_awords_win,Movie_actor_2_awords_nominations,Movie_actor_3_name,Movie_actor_3_credit,Movie_actor_3_awords_Oscars,Movie_actor_3_awords_win,Movie_actor_3_awords_nominations,Movie_music_names,Movie_music_credit,Movie_music_awords_Oscars,Movie_music_awords_win,Movie_music_awords_nominations,Movie_writter_names,Movie_writter_credit,Movie_writter_awords_Oscars,Movie_writter_awords_wins,Movie_writter_awords_nominations,Movie_cinematography_name,Movie_cinematography_credit,Movie_cinematography_aword_Oscars,Movie_cinematography_aword_win,Movie_cinematography_aword_nominations,Movie_costume_name,Movie_costume_credit,Movie_costume_aword_Oscars,Movie_costume_aword_win,Movie_costume_aword_nominations,Movie_awords_win,Movie_awords_nominations,Movie_awords_oscars
29,4004,2015,190000000,2.39,137,7.1,184,9,0,14,13,431,29,0,7,38,497,42,0,7,12,324,41,0,1,0,25,64,2,10,15,95,8,0,0,1,205,5,0,0,1,348,36,0,0,2,35,35,1
30,4347,2017,200000000,2.39,136,7.6,181,15,0,15,12,85,42,0,17,37,673,0,0,16,61,166,53,0,3,0,217,25,0,6,8,250,25,0,15,12,123,27,1,0,2,189,40,3,1,11,15,57,1
23,4024,2009,50000000,2.35,130,4.7,69,5,1,3,23,259,0,0,51,73,105,0,0,0,0,636,8,0,48,0,8,33,2,90,261,411,0,0,0,0,143,81,1,12,1,381,30,0,0,1,20,24,0
10,4070,2012,120000000,2.35,115,5.5,36,15,1,9,34,259,0,0,51,73,538,15,0,48,74,700,19,0,19,0,27,51,2,20,67,411,0,0,0,0,118,38,1,8,16,284,24,1,4,21,21,16,0
23,4061,2011,110000000,2.35,117,4.9,36,13,1,8,33,407,16,0,19,31,214,36,0,0,4,74,49,0,0,0,27,50,2,19,66,411,0,0,0,0,118,35,1,8,16,284,21,1,4,21,11,22,0
30,4133,2006,225000000,2.39,151,7.3,162,16,1,9,12,228,50,3,62,133,485,16,0,28,28,405,0,2,13,2,75,68,1,107,230,579,27,1,3,13,61,44,0,1,29,315,28,1,3,18,44,54,1
30,4305,2016,200000000,1.85,97,7.3,14,9,2,29,61,127,0,3,89,84,3,36,1,23,30,204,62,2,5,2,210,59,15,60,111,34,15,2,29,61,17,0,0,2,2,185,0,0,2,12,17,44,1
31,4255,2016,175000000,2.39,123,6,92,8,0,0,5,439,65,2,61,136,256,4,0,0,0,286,34,0,0,0,202,40,1,14,27,136,9,0,0,5,292,13,0,2,5,200,5,0,0,4,16,40,1
26,3558,2016,58000000,2.39,108,8,443,3,1,2,10,373,61,1,13,47,347,31,0,0,1,205,11,0,2,0,115,26,0,7,25,491,13,0,2,10,181,35,0,0,0,15,28,1,2,3,28,76,2
30,4440,2019,150000000,2.39,103,6.9,62,4,1,10,16,258,0,1,13,53,242,0,0,7,18,379,59,0,12,0,32,23,1,2,23,276,0,0,0,1,148,0,0,1,4,300,0,1,1,10,18,83,1
16,4380,2010,200000000,2.39,124,7,219,10,2,9,16,361,74,2,31,104,219,0,1,11,41,192,63,1,25,1,101,87,1,21,15,341,2,2,1,9,216,48,2,3,37,264,31,3,7,31,7,43,1
26,4349,2018,110000000,2.39,119,7.7,102,22,0,3,10,373,70,1,15,49,329,62,1,18,57,535,0,1,0,1,217,27,0,6,8,491,15,0,2,10,172,44,0,2,1,218,21,0,0,5,6,51,0
31,4125,2010,150000000,2.39,146,7.7,111,18,1,4,9,49,99,1,3,19,181,0,0,25,63,618,82,1,1,1,8,39,2,91,262,564,9,1,7,26,91,60,2,3,12,164,61,1,5,12,15,53,2
31,4103,2017,35000000,2.39,135,7.3,17,6,0,11,6,179,9,0,4,7,295,6,0,2,2,684,0,0,2,0,20,47,1,2,41,90,2,0,1,4,44,26,0,4,18,162,25,1,2,18,8,49,0
30,4080,2017,180000000,2.39,130,7.9,433,16,1,70,87,83,28,0,13,45,637,40,1,2,30,114,0,2,156,2,136,34,2,17,7,184,4,0,0,3,143,98,1,20,9,272,19,1,2,8,6,50,0
10,4151,2014,125000000,2.35,123,6.6,136,79,0,5,16,204,0,1,111,177,332,36,0,19,24,446,15,1,6,1,88,96,8,63,91,476,1,0,0,9,154,29,0,1,1,218,18,0,0,5,21,31,1
5,4122,2007,160000000,1.85,93,6.1,65,1,1,8,6,313,39,1,14,29,168,48,1,27,84,100,0,4,15,4,89,0,0,0,1,275,8,1,3,3,230,0,0,3,1,235,0,0,0,0,5,16,1
30,4575,2019,200000000,2.39,100,7.8,234,2,1,11,30,414,82,2,86,195,628,49,1,20,33,42,0,1,0,1,177,22,2,43,116,304,21,1,34,30,145,2,0,0,1,211,0,0,0,0,54,62,1
22,4348,2017,175000000,2.39,133,7.4,224,24,0,0,4,417,12,0,19,24,452,78,1,61,41,634,85,2,38,2,148,43,1,77,105,321,22,0,0,4,298,32,0,0,1,239,56,0,0,4,7,10,0
31,4207,2013,225000000,2.35,143,7,465,16,0,5,15,165,15,0,3,12,21,0,6,64,228,513,55,2,26,2,75,103,1,114,237,154,31,0,8,12,9,23,0,0,2,157,0,0,0,2,7,46,0
30,3728,2010,200000000,1.85,108,6.4,440,31,2,16,63,228,57,3,66,137,442,0,0,7,41,277,0,2,34,2,44,78,4,69,90,377,30,0,1,6,61,50,0,1,29,74,51,4,26,56,33,63,2
29,4301,2015,74000000,1.85,91,6.4,256,7,1,0,1,380,0,1,70,110,319,57,2,10,84,509,72,1,59,1,79,88,0,6,5,77,6,0,0,0,45,0,0,0,1,142,0,0,0,0,4,26,1
22,3615,2002,139000000,1.85,121,7.3,393,28,0,14,21,411,31,1,9,31,663,45,4,62,92,422,0,3,20,3,44,49,4,61,82,552,41,1,12,11,84,27,1,0,12,157,0,0,0,2,16,61,2
