Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
13,0,15,22,0,15,19,0,6,0,0,0,170000000.00,8,CLASS-4
12,0,137,6,0,10,107,1,121,19,0,16,165000000.00,8.6,CLASS-4
14,0,1,14,0,2,87,0,80,0,0,3,145000000.00,6.8,CLASS-3
41,0,44,0,0,0,20,0,43,55,0,1,140000000.00,6,CLASS-2
4,0,8,10,0,8,17,0,41,2,0,0,145000000.00,7.8,CLASS-4
7,0,7,5,0,1,69,0,8,0,0,0,132000000.00,6.7,CLASS-3
13,0,41,6,0,41,16,0,12,59,0,14,125000000.00,5.7,CLASS-2
32,0,4,2,0,0,74,0,43,41,1,8,127000000.00,6.2,CLASS-2
79,0,5,1,0,0,95,0,68,28,0,1,125000000.00,6.6,CLASS-3
2,0,3,3,0,5,21,0,7,11,0,5,110000000.00,6.2,CLASS-2
4,0,2,26,0,61,64,0,16,27,0,0,90000000.00,6.1,CLASS-2
1,0,11,6,0,0,45,0,18,60,0,5,95000000.00,5.5,CLASS-2
0,1,26,0,0,0,27,1,33,15,0,0,100000000.00,6.3,CLASS-2
6,0,4,4,0,1,21,0,7,36,0,4,85000000.00,6.7,CLASS-3
13,0,2,5,0,1,18,0,9,56,0,1,80000000.00,5.5,CLASS-2
5,2,91,3,2,91,57,2,99,53,0,10,70000000.00,6.1,CLASS-2
1,0,0,0,0,0,21,0,22,32,0,1,70000000.00,6.3,CLASS-2
27,0,3,11,0,1,9,0,7,44,0,1,70000000.00,4.2,CLASS-1
5,0,1,0,0,0,20,0,0,24,0,0,66000000.00,6.4,CLASS-2
2,1,56,24,4,136,57,2,99,75,2,168,65000000.00,7.2,CLASS-3
4,0,0,20,0,2,6,0,2,0,1,19,65000000.00,8.5,CLASS-4
2,0,2,20,0,2,7,0,39,14,0,39,65000000.00,6.8,CLASS-3
90,0,68,0,0,25,11,1,21,35,0,1,61000000.00,8.1,CLASS-4
15,0,33,0,0,0,27,0,12,27,0,1,60000000.00,6.2,CLASS-2
3,0,10,2,0,0,21,1,14,7,0,1,60000000.00,6.8,CLASS-3
19,1,8,2,0,2,103,1,121,35,0,2,215000000.00,6.4,CLASS-2
16,0,5,32,0,8,103,1,121,23,0,0,225000000.00,7,CLASS-3
20,3,136,13,3,44,72,3,87,46,1,27,225000000.00,7.8,CLASS-4
1,0,4,6,0,0,57,0,16,31,2,16,200000000.00,7.2,CLASS-3
32,0,14,5,0,0,86,0,80,48,0,2,215000000.00,6.3,CLASS-2
10,0,6,3,0,0,43,0,18,13,0,0,190000000.00,7,CLASS-3
11,0,25,13,0,3,28,1,80,18,0,0,190000000.00,7.7,CLASS-4
11,0,18,5,0,0,32,1,8,58,0,5,195000000.00,6.2,CLASS-2
13,0,35,11,0,35,24,1,13,10,0,5,105000000.00,7.2,CLASS-3
12,2,97,5,0,0,21,0,22,40,1,8,190000000.00,6.9,CLASS-3
5,0,0,6,0,0,15,0,3,46,0,8,175000000.00,6.3,CLASS-2
2,1,12,0,0,1,1,2,18,0,0,1,150000000.00,7.4,CLASS-3
30,0,8,8,0,0,57,0,16,55,0,2,170000000.00,6.9,CLASS-3
16,0,19,6,0,0,6,0,3,5,0,1,150000000.00,6.4,CLASS-2
